
1:DaumenKinoLP vs. SurskitTV,1,DaumenKinoLP,SurskitTV,DaumenKinoLP vs. SurskitTV,1,0,W,1,1,,DaumenKinoLP,Asalakoren
1:Cabgolord vs. DiaSwordPlay,1,Cabgolord,DiaSwordPlay,Cabgolord vs. DiaSwordPlay,0,3,L,1,1,,Cabgolord,Asalakoren
1:Kaffeecone vs. Silva,1,Kaffeecone,Silva,Kaffeecone vs. Silva,0,2,L,1,1,,Kaffeecone,Asalakoren
1:PokemonFakten vs. Shirosan,1,PokemonFakten,Shirosan,PokemonFakten vs. Shirosan,0,4,L,1,1,,PokemonFakten,Asalakoren
1:DirtyD64 vs. Raizor,1,DirtyD64,Raizor,DirtyD64 vs. Raizor,4,0,W,1,1,,DirtyD64,Asalakoren
1:Morbolith vs. Present,1,Morbolith,Present,Morbolith vs. Present,0,4,L,1,1,,Morbolith,Asalakoren
1:SurskitTV vs. Cabgolord,1,SurskitTV,Cabgolord,SurskitTV vs. Cabgolord,4,0,W,1,2,,SurskitTV,Asalakoren
1:Kaffeecone vs. DaumenKinoLP,1,Kaffeecone,DaumenKinoLP,Kaffeecone vs. DaumenKinoLP,0,3,L,1,2,,Kaffeecone,Asalakoren
1:PokemonFakten vs. DiaSwordPlay,1,PokemonFakten,DiaSwordPlay,PokemonFakten vs. DiaSwordPlay,0,1,L,1,2,,PokemonFakten,Asalakoren
1:DirtyD64 vs. Silva,1,DirtyD64,Silva,DirtyD64 vs. Silva,1,4,L,1,2,,DirtyD64,Asalakoren
1:Morbolith vs. Shirosan,1,Morbolith,Shirosan,Morbolith vs. Shirosan,0,1,L,1,2,,Morbolith,Asalakoren
1:Present vs. Raizor,1,Present,Raizor,Present vs. Raizor,2,0,W,1,2,,Present,Asalakoren
1:Kaffeecone vs. SurskitTV,1,Kaffeecone,SurskitTV,Kaffeecone vs. SurskitTV,0,1,L,1,3,,Kaffeecone,Asalakoren
1:PokemonFakten vs. Cabgolord,1,PokemonFakten,Cabgolord,PokemonFakten vs. Cabgolord,0,4,L,1,3,,PokemonFakten,Asalakoren
1:DirtyD64 vs. DaumenKinoLP,1,DirtyD64,DaumenKinoLP,DirtyD64 vs. DaumenKinoLP,0,1,L,1,3,,DirtyD64,Asalakoren
1:Morbolith vs. DiaSwordPlay,1,Morbolith,DiaSwordPlay,Morbolith vs. DiaSwordPlay,2,0,W,1,3,,Morbolith,Asalakoren
1:Present vs. Silva,1,Present,Silva,Present vs. Silva,2,0,W,1,3,,Present,Asalakoren
1:Raizor vs. Shirosan,1,Raizor,Shirosan,Raizor vs. Shirosan,0,1,L,1,3,,Raizor,Asalakoren
1:SurskitTV vs. PokemonFakten,1,SurskitTV,PokemonFakten,SurskitTV vs. PokemonFakten,2,0,W,1,4,,SurskitTV,Asalakoren
1:DirtyD64 vs. Kaffeecone,1,DirtyD64,Kaffeecone,DirtyD64 vs. Kaffeecone,0,0,D,1,4,,DirtyD64,Asalakoren
1:Morbolith vs. Cabgolord,1,Morbolith,Cabgolord,Morbolith vs. Cabgolord,5,0,W,1,4,,Morbolith,Asalakoren
1:Present vs. DaumenKinoLP,1,Present,DaumenKinoLP,Present vs. DaumenKinoLP,6,0,W,1,4,,Present,Asalakoren
1:Raizor vs. DiaSwordPlay,1,Raizor,DiaSwordPlay,Raizor vs. DiaSwordPlay,1,0,W,1,4,,Raizor,Asalakoren
1:Shirosan vs. Silva,1,Shirosan,Silva,Shirosan vs. Silva,1,0,W,1,4,,Shirosan,Asalakoren
1:DirtyD64 vs. SurskitTV,1,DirtyD64,SurskitTV,DirtyD64 vs. SurskitTV,2,0,W,1,5,,DirtyD64,Asalakoren
1:Morbolith vs. PokemonFakten,1,Morbolith,PokemonFakten,Morbolith vs. PokemonFakten,3,0,W,1,5,,Morbolith,Asalakoren
1:Present vs. Kaffeecone,1,Present,Kaffeecone,Present vs. Kaffeecone,0,4,L,1,5,,Present,Asalakoren
1:Raizor vs. Cabgolord,1,Raizor,Cabgolord,Raizor vs. Cabgolord,2,0,W,1,5,,Raizor,Asalakoren
1:Shirosan vs. DaumenKinoLP,1,Shirosan,DaumenKinoLP,Shirosan vs. DaumenKinoLP,5,0,W,1,5,,Shirosan,Asalakoren
1:Silva vs. DiaSwordPlay,1,Silva,DiaSwordPlay,Silva vs. DiaSwordPlay,3,0,W,1,5,,Silva,Asalakoren
1:SurskitTV vs. Morbolith,1,SurskitTV,Morbolith,SurskitTV vs. Morbolith,3,0,W,1,6,,SurskitTV,Asalakoren
1:Present vs. DirtyD64,1,Present,DirtyD64,Present vs. DirtyD64,3,0,W,1,6,,Present,Asalakoren
1:Raizor vs. PokemonFakten,1,Raizor,PokemonFakten,Raizor vs. PokemonFakten,0,5,L,1,6,,Raizor,Asalakoren
1:Shirosan vs. Kaffeecone,1,Shirosan,Kaffeecone,Shirosan vs. Kaffeecone,4,0,W,1,6,,Shirosan,Asalakoren
1:Silva vs. Cabgolord,1,Silva,Cabgolord,Silva vs. Cabgolord,2,0,W,1,6,,Silva,Asalakoren
1:DiaSwordPlay vs. DaumenKinoLP,1,DiaSwordPlay,DaumenKinoLP,DiaSwordPlay vs. DaumenKinoLP,3,0,W,1,6,,DiaSwordPlay,Asalakoren
1:Present vs. SurskitTV,1,Present,SurskitTV,Present vs. SurskitTV,3,0,W,1,7,,Present,Asalakoren
1:Raizor vs. Morbolith,1,Raizor,Morbolith,Raizor vs. Morbolith,3,0,W,1,7,,Raizor,Asalakoren
1:Shirosan vs. DirtyD64,1,Shirosan,DirtyD64,Shirosan vs. DirtyD64,0,5,L,1,7,,Shirosan,Asalakoren
1:Silva vs. PokemonFakten,1,Silva,PokemonFakten,Silva vs. PokemonFakten,4,0,W,1,7,,Silva,Asalakoren
1:DiaSwordPlay vs. Kaffeecone,1,DiaSwordPlay,Kaffeecone,DiaSwordPlay vs. Kaffeecone,2,0,W,1,7,,DiaSwordPlay,Asalakoren
1:DaumenKinoLP vs. Cabgolord,1,DaumenKinoLP,Cabgolord,DaumenKinoLP vs. Cabgolord,3,0,W,1,7,,DaumenKinoLP,Asalakoren
1:SurskitTV vs. Raizor,1,SurskitTV,Raizor,SurskitTV vs. Raizor,0,3,L,1,8,,SurskitTV,Asalakoren
1:Shirosan vs. Present,1,Shirosan,Present,Shirosan vs. Present,0,5,L,1,8,,Shirosan,Asalakoren
1:Silva vs. Morbolith,1,Silva,Morbolith,Silva vs. Morbolith,6,0,W,1,8,,Silva,Asalakoren
1:DiaSwordPlay vs. DirtyD64,1,DiaSwordPlay,DirtyD64,DiaSwordPlay vs. DirtyD64,0,2,L,1,8,,DiaSwordPlay,Asalakoren
1:DaumenKinoLP vs. PokemonFakten,1,DaumenKinoLP,PokemonFakten,DaumenKinoLP vs. PokemonFakten,4,0,W,1,8,,DaumenKinoLP,Asalakoren
1:Cabgolord vs. Kaffeecone,1,Cabgolord,Kaffeecone,Cabgolord vs. Kaffeecone,2,0,W,1,8,,Cabgolord,Asalakoren
1:Shirosan vs. SurskitTV,1,Shirosan,SurskitTV,Shirosan vs. SurskitTV,3,0,W,1,9,,Shirosan,Asalakoren
1:Silva vs. Raizor,1,Silva,Raizor,Silva vs. Raizor,0,3,L,1,9,,Silva,Asalakoren
1:DiaSwordPlay vs. Present,1,DiaSwordPlay,Present,DiaSwordPlay vs. Present,0,4,L,1,9,,DiaSwordPlay,Asalakoren
1:DaumenKinoLP vs. Morbolith,1,DaumenKinoLP,Morbolith,DaumenKinoLP vs. Morbolith,3,0,W,1,9,,DaumenKinoLP,Asalakoren
1:Cabgolord vs. DirtyD64,1,Cabgolord,DirtyD64,Cabgolord vs. DirtyD64,0,1,L,1,9,,Cabgolord,Asalakoren
1:Kaffeecone vs. PokemonFakten,1,Kaffeecone,PokemonFakten,Kaffeecone vs. PokemonFakten,1,0,W,1,9,,Kaffeecone,Asalakoren
1:SurskitTV vs. Silva,1,SurskitTV,Silva,SurskitTV vs. Silva,0,2,L,1,10,,SurskitTV,Barry D. Sin of Speed
1:DiaSwordPlay vs. Shirosan,1,DiaSwordPlay,Shirosan,DiaSwordPlay vs. Shirosan,4,0,W,1,10,,DiaSwordPlay,Barry D. Sin of Speed
1:DaumenKinoLP vs. Raizor,1,DaumenKinoLP,Raizor,DaumenKinoLP vs. Raizor,0,4,L,1,10,,DaumenKinoLP,Barry D. Sin of Speed
1:Cabgolord vs. Present,1,Cabgolord,Present,Cabgolord vs. Present,0,3,L,1,10,,Cabgolord,Barry D. Sin of Speed
1:Kaffeecone vs. Morbolith,1,Kaffeecone,Morbolith,Kaffeecone vs. Morbolith,3,0,W,1,10,,Kaffeecone,Barry D. Sin of Speed
1:PokemonFakten vs. DirtyD64,1,PokemonFakten,DirtyD64,PokemonFakten vs. DirtyD64,5,0,W,1,10,,PokemonFakten,Barry D. Sin of Speed
1:DiaSwordPlay vs. SurskitTV,1,DiaSwordPlay,SurskitTV,DiaSwordPlay vs. SurskitTV,0,6,L,1,11,,DiaSwordPlay,Barry D. Sin of Speed
1:DaumenKinoLP vs. Silva,1,DaumenKinoLP,Silva,DaumenKinoLP vs. Silva,2,0,W,1,11,,DaumenKinoLP,Barry D. Sin of Speed
