video_id,video_url,title,video_type,match_status,confidence,confidence_tier,match_basis,confidence_explanation,detected_season_id,detected_week,source_urls,review_reason
fR3DxvL8NbU,https://www.youtube.com/watch?v=fR3DxvL8NbU,GPL - Spieltag 21 - vs. Melting Mamoswines : Die Kante geben,game,unmatched,,,,,season_001,21,https://www.youtube.com/watch?v=fR3DxvL8NbU;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt,unmatched_game_video
mBCfLLBoWG8,https://www.youtube.com/watch?v=mBCfLLBoWG8,GPL ★ Spieltag 21 - VS. Raizoroark : Der Meista kehrt zurück!,game,unmatched,,,,,season_001,21,https://www.youtube.com/watch?v=mBCfLLBoWG8;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP,unmatched_game_video
GWcDNuLmklo,https://www.youtube.com/watch?v=GWcDNuLmklo,GPL ☆ Spieltag 21 - VS Lucky Luxray | Man spielt nicht mit Gummienten!,game,unmatched,,,,,season_001,21,https://www.youtube.com/watch?v=GWcDNuLmklo;https://www.youtube.com/user/FanmadeLetsPlay;https://www.youtube.com/user/FanmadeLetsplay,unmatched_game_video
JQKOEhXMbw8,https://www.youtube.com/watch?v=JQKOEhXMbw8,GPL ★ Spieltag 22 - VS. Diggersby Army : Ende der 1. Season,game,unmatched,,,,,season_001,22,https://www.youtube.com/watch?v=JQKOEhXMbw8;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP,unmatched_game_video
f0G6a6Aa0d4,https://www.youtube.com/watch?v=f0G6a6Aa0d4,GPL - Spieltag 22 - vs. Arbok Duel Union : Die letzte Schlacht!,game,unmatched,,,,,season_001,22,https://www.youtube.com/watch?v=f0G6a6Aa0d4;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt,unmatched_game_video
1JOjZ8BHHuE,https://www.youtube.com/watch?v=1JOjZ8BHHuE,GPL - Spieltag 22 - vs. Nocturne: Spektakulärer Abschluss!,game,unmatched,,,,,season_001,22,https://www.youtube.com/watch?v=1JOjZ8BHHuE;https://www.youtube.com/user/PresentLP,unmatched_game_video
TpDji9WXXUs,https://www.youtube.com/watch?v=TpDji9WXXUs,GPL ☆ Spieltag 22 - VS Prekani | Das letzte Geschenk!,game,unmatched,,,,,season_001,22,https://www.youtube.com/watch?v=TpDji9WXXUs;https://www.youtube.com/user/FanmadeLetsPlay;https://www.youtube.com/user/FanmadeLetsplay,unmatched_game_video
dmS3OPEwrPU,https://www.youtube.com/watch?v=dmS3OPEwrPU,GPL Season 1 - Prekani VS. Raizoroark | Pokémon Sonne & Mond WiFi Battle - [61],game,unmatched,,,,,season_001,,https://www.youtube.com/watch?v=dmS3OPEwrPU;https://www.youtube.com/user/PresentLP,unmatched_game_video
fTb1_ch-0oM,https://www.youtube.com/watch?v=fTb1_ch-0oM,DPL S2 Spieltag 1 vs Splitted Black | GPL alles Lappen außer Steve!11!,game,unmatched,,,,,season_002,1,https://www.youtube.com/watch?v=fTb1_ch-0oM;https://www.youtube.com/c/LaurisEnteitainment;https://www.youtube.com/channel/UCShFh4OGH23GfshxfIfvcjA,unmatched_game_video
xFMxhc_4YxA,https://www.youtube.com/watch?v=xFMxhc_4YxA,GPL [S2] - Spieltag 2 - vs. Bulettenbande: In guten Gedanken!,game,unmatched,,,,,season_002,2,https://www.youtube.com/watch?v=xFMxhc_4YxA;https://www.youtube.com/user/LightGaming12,unmatched_game_video
